,Match ID,Date,Venue,Bat First,Bat Second,Winner,Target Score,Chased,Defended
1200,1284490,2021-10-24,West End Park International Cricket Stadium,Bahrain,Kuwait,Kuwait,125,Yes,No
1201,1284491,2021-10-24,West End Park International Cricket Stadium,Qatar,Maldives,Qatar,155,No,Yes
1202,1284493,2021-10-27,West End Park International Cricket Stadium,Maldives,Bahrain,Bahrain,89,Yes,No
1203,1284495,2021-10-28,West End Park International Cricket Stadium,Maldives,Kuwait,Kuwait,104,Yes,No
1204,1284496,2021-10-28,West End Park International Cricket Stadium,Bahrain,Saudi Arabia,Bahrain,180,No,Yes
1205,1284497,2021-10-29,West End Park International Cricket Stadium,Kuwait,Qatar,Qatar,127,Yes,No
1206,1286667,2021-11-07,Coolidge Cricket Ground,Belize,United States of America,United States of America,65,Yes,No
1207,1286670,2021-11-08,Coolidge Cricket Ground,Canada,Belize,Canada,235,No,Yes
1208,1286671,2021-11-08,Sir Vivian Richards Stadium,Bahamas,Argentina,Bahamas,122,No,Yes
1209,1286672,2021-11-08,Coolidge Cricket Ground,Belize,Panama,Belize,144,No,Yes
1210,1286673,2021-11-08,Sir Vivian Richards Stadium,United States of America,Bermuda,United States of America,173,No,Yes
1211,1286675,2021-11-10,Sir Vivian Richards Stadium,Argentina,Belize,Argentina,172,No,Yes
1212,1286677,2021-11-10,Coolidge Cricket Ground,Bermuda,Bahamas,Bermuda,240,No,Yes
1213,1286679,2021-11-11,Sir Vivian Richards Stadium,Bahamas,Belize,Bahamas,151,No,Yes
1214,1286681,2021-11-11,Sir Vivian Richards Stadium,Argentina,United States of America,United States of America,91,Yes,No
1215,1286682,2021-11-13,Coolidge Cricket Ground,Bahamas,United States of America,United States of America,91,Yes,No
1216,1286683,2021-11-13,Sir Vivian Richards Stadium,Belize,Bermuda,Bermuda,86,Yes,No
1217,1286684,2021-11-13,Coolidge Cricket Ground,Panama,Bahamas,Panama,140,No,Yes
1218,1286685,2021-11-13,Sir Vivian Richards Stadium,Argentina,Canada,Canada,110,Yes,No
1219,1286686,2021-11-14,Coolidge Cricket Ground,Canada,Panama,Canada,246,No,Yes
1220,1287773,2021-12-13,National Stadium,Pakistan,West Indies,Pakistan,201,No,Yes
1221,1287774,2021-12-14,National Stadium,Pakistan,West Indies,Pakistan,173,No,Yes
1222,1287775,2021-12-16,National Stadium,West Indies,Pakistan,Pakistan,208,Yes,No
1223,1288316,2022-04-05,Gaddafi Stadium,Pakistan,Australia,Australia,163,Yes,No
1224,1289042,2021-11-17,Gahanga International Cricket Stadium. Rwanda,Nigeria,Tanzania,Tanzania,115,Yes,No
1225,1289043,2021-11-17,Integrated Polytechnic Regional Centre,Kenya,Uganda,Kenya,162,No,Yes
1226,1289044,2021-11-17,Gahanga International Cricket Stadium. Rwanda,Uganda,Nigeria,Uganda,63,No,Yes
1227,1289045,2021-11-17,Integrated Polytechnic Regional Centre,Tanzania,Kenya,Tanzania,188,No,Yes
1228,1289046,2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,Uganda,Uganda,141,Yes,No
1229,1289047,2021-11-18,Integrated Polytechnic Regional Centre,Nigeria,Kenya,Kenya,131,Yes,No
1230,1289048,2021-11-18,Gahanga International Cricket Stadium. Rwanda,Tanzania,Kenya,Kenya,102,Yes,No
1231,1289049,2021-11-18,Integrated Polytechnic Regional Centre,Nigeria,Uganda,Uganda,113,Yes,No
1232,1289050,2021-11-20,Gahanga International Cricket Stadium. Rwanda,Tanzania,Uganda,Uganda,69,Yes,No
1233,1289051,2021-11-20,Integrated Polytechnic Regional Centre,Kenya,Nigeria,Kenya,169,No,Yes
1234,1289052,2021-11-20,Gahanga International Cricket Stadium. Rwanda,Kenya,Uganda,Uganda,118,Yes,No
1235,1289053,2021-11-20,Integrated Polytechnic Regional Centre,Tanzania,Nigeria,Tanzania,137,No,Yes
1236,1291187,2021-12-22,Central Broward Regional Park Stadium Turf Ground,United States of America,Ireland,United States of America,189,No,Yes
1237,1291188,2021-12-23,Central Broward Regional Park Stadium Turf Ground,Ireland,United States of America,Ireland,151,No,Yes
1238,1298135,2022-10-16,GMHBA Stadium,Namibia,Sri Lanka,Namibia,164,No,Yes
1239,1298136,2022-10-16,GMHBA Stadium,United Arab Emirates,Netherlands,Netherlands,112,Yes,No
1240,1298137,2022-10-17,Bellerive Oval,Scotland,West Indies,Scotland,161,No,Yes
1241,1298138,2022-10-17,Bellerive Oval,Zimbabwe,Ireland,Zimbabwe,175,No,Yes
1242,1298139,2022-10-18,GMHBA Stadium,Namibia,Netherlands,Netherlands,122,Yes,No
1243,1298140,2022-10-18,GMHBA Stadium,Sri Lanka,United Arab Emirates,Sri Lanka,153,No,Yes
1244,1298141,2022-10-19,Bellerive Oval,Scotland,Ireland,Ireland,177,Yes,No
1245,1298142,2022-10-19,Bellerive Oval,West Indies,Zimbabwe,West Indies,154,No,Yes
1246,1298143,2022-10-20,GMHBA Stadium,Sri Lanka,Netherlands,Sri Lanka,163,No,Yes
1247,1298144,2022-10-20,GMHBA Stadium,United Arab Emirates,Namibia,United Arab Emirates,149,No,Yes
1248,1298145,2022-10-21,Bellerive Oval,West Indies,Ireland,Ireland,147,Yes,No
1249,1298146,2022-10-21,Bellerive Oval,Scotland,Zimbabwe,Zimbabwe,133,Yes,No
1250,1298147,2022-10-22,Sydney Cricket Ground,New Zealand,Australia,New Zealand,201,No,Yes
1251,1298148,2022-10-22,Perth Stadium,Afghanistan,England,England,113,Yes,No
1252,1298149,2022-10-23,Bellerive Oval,Ireland,Sri Lanka,Sri Lanka,129,Yes,No
1253,1298150,2022-10-23,Melbourne Cricket Ground,Pakistan,India,India,160,Yes,No
1254,1298151,2022-10-24,Bellerive Oval,Bangladesh,Netherlands,Bangladesh,145,No,Yes
1255,1298153,2022-10-25,Perth Stadium,Sri Lanka,Australia,Australia,158,Yes,No
1256,1298154,2022-10-26,Melbourne Cricket Ground,Ireland,England,Ireland,111,No,Yes
1257,1298156,2022-10-27,Sydney Cricket Ground,South Africa,Bangladesh,South Africa,206,No,Yes
1258,1298157,2022-10-27,Sydney Cricket Ground,India,Netherlands,India,180,No,Yes
1259,1298158,2022-10-27,Perth Stadium,Zimbabwe,Pakistan,Zimbabwe,131,No,Yes
1260,1298161,2022-10-29,Sydney Cricket Ground,New Zealand,Sri Lanka,New Zealand,168,No,Yes
1261,1298162,2022-10-30,Brisbane Cricket Ground,Bangladesh,Zimbabwe,Bangladesh,151,No,Yes
1262,1298163,2022-10-30,Perth Stadium,Netherlands,Pakistan,Pakistan,92,Yes,No
1263,1298164,2022-10-30,Perth Stadium,India,South Africa,South Africa,134,Yes,No
1264,1298165,2022-10-31,Brisbane Cricket Ground,Australia,Ireland,Australia,180,No,Yes
1265,1298166,2022-11-01,Brisbane Cricket Ground,Afghanistan,Sri Lanka,Sri Lanka,145,Yes,No
1266,1298167,2022-11-01,Brisbane Cricket Ground,England,New Zealand,England,180,No,Yes
1267,1298168,2022-11-02,Adelaide Oval,Zimbabwe,Netherlands,Netherlands,118,Yes,No
1268,1298169,2022-11-02,Adelaide Oval,India,Bangladesh,India,151,No,Yes
1269,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,South Africa,Pakistan,142,No,Yes
1270,1298171,2022-11-04,Adelaide Oval,New Zealand,Ireland,New Zealand,186,No,Yes
1271,1298172,2022-11-04,Adelaide Oval,Australia,Afghanistan,Australia,169,No,Yes
1272,1298173,2022-11-05,Sydney Cricket Ground,Sri Lanka,England,England,142,Yes,No
1273,1298174,2022-11-06,Adelaide Oval,Netherlands,South Africa,Netherlands,159,No,Yes
1274,1298175,2022-11-06,Adelaide Oval,Bangladesh,Pakistan,Pakistan,128,Yes,No
1275,1298176,2022-11-06,Melbourne Cricket Ground,India,Zimbabwe,India,187,No,Yes
1276,1298177,2022-11-09,Sydney Cricket Ground,New Zealand,Pakistan,Pakistan,153,Yes,No
1277,1298178,2022-11-10,Adelaide Oval,India,England,England,169,Yes,No
1278,1298179,2022-11-13,Melbourne Cricket Ground,Pakistan,England,England,138,Yes,No
1279,1299566,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,Nepal,118,No,Yes
1280,1299567,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Canada,Philippines,Canada,217,No,Yes
1281,1299568,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,United Arab Emirates,158,No,Yes
1282,1299569,2022-02-18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Bahrain,Bahrain,107,Yes,No
1283,1299570,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Oman,Oman,156,Yes,No
1284,1299571,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,Philippines,Nepal,219,No,Yes
1285,1299572,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Germany,United Arab Emirates,192,No,Yes
1286,1299573,2022-02-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Ireland,Bahrain,Ireland,159,No,Yes
1287,1299574,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Ireland,Ireland,108,Yes,No
1288,1299575,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,United Arab Emirates,Bahrain,173,No,Yes
1289,1299576,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Nepal,Nepal,81,Yes,No
1290,1299577,2022-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Oman,Oman,37,Yes,No
1291,1299578,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Canada,Canada,132,Yes,No
1292,1299579,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Philippines,Bahrain,192,No,Yes
1293,1299580,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,United Arab Emirates,176,No,Yes
1294,1299581,2022-02-22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Ireland,Oman,Ireland,166,No,Yes
1295,1299582,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,Canada,132,Yes,No
1296,1299583,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Germany,Germany,110,Yes,No
1297,1299584,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Nepal,Nepal,88,Yes,No
1298,1299585,2022-02-24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,United Arab Emirates,160,Yes,No
1299,1299592,2022-02-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,United Arab Emirates,179,No,Yes
1300,1299593,2022-02-11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,Nepal,136,Yes,No
1301,1299594,2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,Ireland,138,Yes,No
1302,1299595,2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Oman,Oman,165,Yes,No
1303,1299596,2022-02-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,Ireland,128,No,Yes
1304,1299638,2022-02-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,United Arab Emirates,193,No,Yes
1305,1299832,2022-03-03,Shere Bangla National Stadium,Bangladesh,Afghanistan,Bangladesh,156,No,Yes
1306,1299833,2022-03-05,Shere Bangla National Stadium,Bangladesh,Afghanistan,Afghanistan,116,Yes,No
1307,1303307,2022-06-26,The Village,Ireland,India,India,109,Yes,No
1308,1303308,2022-06-28,The Village,India,Ireland,India,226,No,Yes
1309,1303312,2022-07-18,Civil Service Cricket Club,New Zealand,Ireland,New Zealand,174,No,Yes
